,date,user_id,monthly_income,monthly_expense_total,emergency_fund,investment_amount,debt_to_income_ratio,Rasio Dana Darurat,score_dana_darurat,score_utang,cash_flow,score_cashflow,financial_health_score,status_kesiapan
0,2019-01-01,1584,3119.58,3212.07,510.58,689.22,0.56,0.16,1.07,9.0,-92.49000000000024,0,10.07,WARING!!! : Fokus Lunasi Utang & Nabung
1,2019-01-31,1045,3262.44,3732.81,1154.41,360.34,0.42,0.31,2.07,14.25,-470.3699999999999,0,16.32,WARING!!! : Fokus Lunasi Utang & Nabung
2,2019-03-02,1756,2931.2,3335.58,1433.02,0.0,0.24,0.43,2.87,21.0,-404.3800000000001,0,23.87,WARING!!! : Fokus Lunasi Utang & Nabung
3,2019-04-01,1724,3506.79,2327.59,227.37,182.06,0.16,0.1,0.67,24.0,1179.1999999999998,30,54.67,Perbaiki Dana Darurat dan pelunasan Utang
4,2019-05-01,1600,4606.87,2182.58,589.81,342.78,0.25,0.27,1.8,20.62,2424.29,30,52.42,Perbaiki Dana Darurat dan pelunasan Utang
5,2019-05-31,1985,4028.39,3876.57,1131.03,451.11,0.43,0.29,1.93,13.88,151.8199999999997,30,45.81,Perbaiki Dana Darurat dan pelunasan Utang
6,2019-06-30,1194,4145.45,3035.61,995.12,730.42,0.3,0.33,2.2,18.75,1109.8399999999997,30,50.95,Perbaiki Dana Darurat dan pelunasan Utang
7,2019-07-30,1600,3202.37,2689.51,732.71,224.15,0.24,0.27,1.8,21.0,512.8599999999997,30,52.8,Perbaiki Dana Darurat dan pelunasan Utang
8,2019-08-29,1835,4765.11,2628.56,1623.05,0.0,0.52,0.62,4.13,10.5,2136.5499999999997,30,44.63,Perbaiki Dana Darurat dan pelunasan Utang
9,2019-09-28,1454,3581.79,3370.8,1057.1,261.39,0.52,0.31,2.07,10.5,210.98999999999978,30,42.57,Perbaiki Dana Darurat dan pelunasan Utang
10,2019-10-28,1045,3832.71,3230.77,1095.63,452.59,0.19,0.34,2.27,22.88,601.94,30,55.15,Perbaiki Dana Darurat dan pelunasan Utang
11,2019-11-27,1357,2136.79,3444.29,1967.83,528.05,0.39,0.57,3.8,15.38,-1307.5,0,19.18,WARING!!! : Fokus Lunasi Utang & Nabung
12,2019-12-27,1403,5462.92,3049.29,1431.37,275.58,0.23,0.47,3.13,21.38,2413.63,30,54.51,Perbaiki Dana Darurat dan pelunasan Utang
13,2020-01-26,1884,2110.66,2707.86,1153.64,563.48,0.32,0.43,2.87,18.0,-597.2000000000003,0,20.87,WARING!!! : Fokus Lunasi Utang & Nabung
14,2020-02-25,1675,3507.29,2661.4,1405.48,220.05,0.4,0.53,3.53,15.0,845.8899999999999,30,48.53,Perbaiki Dana Darurat dan pelunasan Utang
15,2020-03-26,1750,2098.58,4614.09,1381.6,284.89,0.29,0.3,2.0,19.12,-2515.51,0,21.12,WARING!!! : Fokus Lunasi Utang & Nabung
16,2020-04-25,1222,3677.65,3489.82,1729.56,347.32,0.13,0.5,3.33,25.12,187.82999999999993,30,58.45,Perbaiki Dana Darurat dan pelunasan Utang
17,2020-05-25,1050,1884.19,2764.11,1692.29,394.33,0.41,0.61,4.07,14.63,-879.9200000000001,0,18.7,WARING!!! : Fokus Lunasi Utang & Nabung
18,2020-06-24,1234,3697.31,3523.56,493.09,247.39,0.52,0.14,0.93,10.5,173.75,30,41.43,Perbaiki Dana Darurat dan pelunasan Utang
19,2020-07-24,1447,4726.33,3948.38,1320.35,409.83,0.48,0.33,2.2,12.0,777.9499999999998,30,44.2,Perbaiki Dana Darurat dan pelunasan Utang
20,2020-08-23,1347,2911.22,1886.67,1431.26,112.31,0.52,0.76,5.07,10.5,1024.5499999999997,30,45.57,Perbaiki Dana Darurat dan pelunasan Utang
21,2020-09-22,1918,3972.53,2793.73,1359.6,955.5,0.44,0.49,3.27,13.5,1178.8000000000002,30,46.77,Perbaiki Dana Darurat dan pelunasan Utang
22,2020-10-22,1879,5136.85,2474.84,1045.61,529.61,0.25,0.42,2.8,20.62,2662.01,30,53.42,Perbaiki Dana Darurat dan pelunasan Utang
23,2020-11-21,1057,4124.22,2712.7,615.45,258.74,0.21,0.23,1.53,22.12,1411.5200000000004,30,53.65,Perbaiki Dana Darurat dan pelunasan Utang
24,2020-12-21,1129,4622.48,2219.51,2306.84,591.38,0.46,1.04,6.93,12.75,2402.9699999999993,30,49.68,Perbaiki Dana Darurat dan pelunasan Utang
25,2021-01-20,1680,4859.63,2830.71,768.35,459.74,0.32,0.27,1.8,18.0,2028.92,30,49.8,Perbaiki Dana Darurat dan pelunasan Utang
26,2021-02-19,1621,5414.37,3328.5,1233.88,512.29,0.56,0.37,2.47,9.0,2085.87,30,41.47,Perbaiki Dana Darurat dan pelunasan Utang
27,2021-03-21,1998,6042.51,2246.36,1513.09,579.51,0.5,0.67,4.47,11.25,3796.15,30,45.72,Perbaiki Dana Darurat dan pelunasan Utang
28,2021-04-20,1058,4422.94,2989.14,322.35,326.25,0.38,0.11,0.73,15.75,1433.7999999999997,30,46.48,Perbaiki Dana Darurat dan pelunasan Utang
29,2021-05-20,1334,4012.76,2193.69,1168.02,0.0,0.53,0.53,3.53,10.12,1819.0700000000002,30,43.65,Perbaiki Dana Darurat dan pelunasan Utang
30,2021-06-19,1256,3163.61,4000.56,1411.56,686.52,0.29,0.35,2.33,19.12,-836.9499999999998,0,21.45,WARING!!! : Fokus Lunasi Utang & Nabung
31,2021-07-19,1421,2980.36,2083.75,453.89,213.49,0.23,0.22,1.47,21.38,896.6100000000001,30,52.85,Perbaiki Dana Darurat dan pelunasan Utang
32,2021-08-18,1456,3515.99,3276.12,347.98,353.98,0.12,0.11,0.73,25.5,239.8699999999999,30,56.23,Perbaiki Dana Darurat dan pelunasan Utang
33,2021-09-17,1974,3855.03,2510.28,497.88,223.91,0.52,0.2,1.33,10.5,1344.75,30,41.83,Perbaiki Dana Darurat dan pelunasan Utang
34,2021-10-17,1730,3725.58,3430.91,890.21,736.18,0.43,0.26,1.73,13.88,294.6700000000001,30,45.61,Perbaiki Dana Darurat dan pelunasan Utang
35,2021-11-16,1340,5423.61,3424.74,735.81,610.25,0.2,0.21,1.4,22.5,1998.87,30,53.9,Perbaiki Dana Darurat dan pelunasan Utang
36,2021-12-16,1794,5273.97,2583.11,898.01,621.56,0.44,0.35,2.33,13.5,2690.86,30,45.83,Perbaiki Dana Darurat dan pelunasan Utang
37,2022-01-15,1776,4276.99,2785.21,2344.53,282.26,0.22,0.84,5.6,21.75,1491.7799999999997,30,57.35,Perbaiki Dana Darurat dan pelunasan Utang
38,2022-02-14,1173,4781.39,3279.82,0.0,0.0,0.36,0.0,0.0,16.5,1501.5700000000002,30,46.5,Perbaiki Dana Darurat dan pelunasan Utang
39,2022-03-16,1482,4457.69,3522.27,1154.66,0.0,0.13,0.33,2.2,25.12,935.4199999999996,30,57.32,Perbaiki Dana Darurat dan pelunasan Utang
40,2022-04-15,1913,3782.73,2241.48,790.98,278.85,0.5,0.35,2.33,11.25,1541.25,30,43.58,Perbaiki Dana Darurat dan pelunasan Utang
41,2022-05-15,1529,3933.49,4154.43,210.08,552.72,0.13,0.05,0.33,25.12,-220.9400000000005,0,25.45,WARING!!! : Fokus Lunasi Utang & Nabung
42,2022-06-14,1737,4047.29,2359.97,857.38,342.41,0.4,0.36,2.4,15.0,1687.3200000000002,30,47.4,Perbaiki Dana Darurat dan pelunasan Utang
43,2022-07-14,1205,4076.19,3117.55,471.82,160.08,0.59,0.15,1.0,7.88,958.6399999999999,30,38.88,WARING!!! : Fokus Lunasi Utang & Nabung
44,2022-08-13,1756,4155.26,3157.23,1347.98,245.03,0.27,0.43,2.87,19.88,998.0300000000002,30,52.75,Perbaiki Dana Darurat dan pelunasan Utang
45,2022-09-12,1957,1900.97,3577.86,1398.07,237.28,0.31,0.39,2.6,18.38,-1676.89,0,20.98,WARING!!! : Fokus Lunasi Utang & Nabung
46,2022-10-12,1983,2402.19,2901.92,1569.13,461.51,0.18,0.54,3.6,23.25,-499.73,0,26.85,WARING!!! : Fokus Lunasi Utang & Nabung
47,2022-11-11,1206,3764.31,2918.07,789.59,0.0,0.44,0.27,1.8,13.5,846.2399999999998,30,45.3,Perbaiki Dana Darurat dan pelunasan Utang
48,2022-12-11,1983,3549.62,2797.15,713.24,313.85,0.16,0.25,1.67,24.0,752.4699999999998,30,55.67,Perbaiki Dana Darurat dan pelunasan Utang
49,2023-01-10,1984,4722.51,3075.01,662.47,130.94,0.33,0.22,1.47,17.62,1647.5,30,49.09,Perbaiki Dana Darurat dan pelunasan Utang
50,2023-02-09,1368,3393.56,3409.64,1264.6,249.76,0.19,0.37,2.47,22.88,-16.079999999999927,0,25.35,WARING!!! : Fokus Lunasi Utang & Nabung
51,2023-03-11,1443,4264.95,1818.65,1429.66,30.37,0.27,0.79,5.27,19.88,2446.2999999999997,30,55.15,Perbaiki Dana Darurat dan pelunasan Utang
52,2023-04-10,1506,3170.26,2214.21,1084.61,466.11,0.28,0.49,3.27,19.5,956.0500000000002,30,52.77,Perbaiki Dana Darurat dan pelunasan Utang
53,2023-05-10,1942,4573.38,3768.84,1591.2,464.62,0.55,0.42,2.8,9.38,804.54,30,42.18,Perbaiki Dana Darurat dan pelunasan Utang
54,2023-06-09,1353,2800.92,1663.92,1420.61,553.6,0.17,0.85,5.67,23.62,1137.0,30,59.29,Perbaiki Dana Darurat dan pelunasan Utang
55,2023-07-09,1477,5578.55,2600.71,1379.9,813.12,0.45,0.53,3.53,13.12,2977.84,30,46.65,Perbaiki Dana Darurat dan pelunasan Utang
56,2023-08-08,1657,4078.42,2546.59,1376.49,690.28,0.37,0.54,3.6,16.12,1531.83,30,49.72,Perbaiki Dana Darurat dan pelunasan Utang
57,2023-09-07,1275,4116.03,2919.91,897.14,386.86,0.53,0.31,2.07,10.12,1196.12,30,42.19,Perbaiki Dana Darurat dan pelunasan Utang
58,2023-10-07,1908,4268.09,2534.99,928.08,499.18,0.5,0.37,2.47,11.25,1733.1000000000004,30,43.72,Perbaiki Dana Darurat dan pelunasan Utang
59,2023-11-06,1585,5466.77,3518.15,872.66,419.52,0.33,0.25,1.67,17.62,1948.6200000000003,30,49.29,Perbaiki Dana Darurat dan pelunasan Utang
60,2019-01-01,1177,3593.89,3401.82,1860.17,698.79,0.13,0.55,3.67,25.12,192.0699999999997,30,58.79,Perbaiki Dana Darurat dan pelunasan Utang
61,2019-01-31,1900,5216.32,3003.14,429.86,207.54,0.25,0.14,0.93,20.62,2213.18,30,51.55,Perbaiki Dana Darurat dan pelunasan Utang
62,2019-03-02,1213,3997.43,2243.56,466.72,705.24,0.45,0.21,1.4,13.12,1753.87,30,44.52,Perbaiki Dana Darurat dan pelunasan Utang
63,2019-04-01,1855,4838.69,4392.42,1226.78,919.03,0.5,0.28,1.87,11.25,446.2699999999995,30,43.12,Perbaiki Dana Darurat dan pelunasan Utang
64,2019-05-01,1094,3613.29,1069.2,609.45,465.08,0.48,0.57,3.8,12.0,2544.09,30,45.8,Perbaiki Dana Darurat dan pelunasan Utang
65,2019-05-31,1900,4055.69,4699.43,354.31,483.13,0.41,0.08,0.53,14.63,-643.7400000000002,0,15.16,WARING!!! : Fokus Lunasi Utang & Nabung
66,2019-06-30,1483,4533.65,3390.89,1332.26,122.02,0.27,0.39,2.6,19.88,1142.7599999999998,30,52.48,Perbaiki Dana Darurat dan pelunasan Utang
67,2019-07-30,1512,5532.8,810.91,1635.48,228.69,0.14,2.02,13.47,24.75,4721.89,30,68.22,Siap Investasi
68,2019-08-29,1458,5295.24,1740.05,1003.08,356.75,0.16,0.58,3.87,24.0,3555.1899999999996,30,57.87,Perbaiki Dana Darurat dan pelunasan Utang
69,2019-09-28,1038,3705.56,2972.45,1420.62,0.0,0.11,0.48,3.2,25.88,733.1100000000001,30,59.08,Perbaiki Dana Darurat dan pelunasan Utang
70,2019-10-28,1595,4521.79,3131.93,1013.99,303.34,0.41,0.32,2.13,14.63,1389.8600000000001,30,46.76,Perbaiki Dana Darurat dan pelunasan Utang
71,2019-11-27,1205,3629.51,3352.63,1294.54,495.41,0.39,0.39,2.6,15.38,276.8800000000001,30,47.98,Perbaiki Dana Darurat dan pelunasan Utang
72,2019-12-27,1511,2586.17,2534.03,185.58,979.88,0.56,0.07,0.47,9.0,52.13999999999987,30,39.47,WARING!!! : Fokus Lunasi Utang & Nabung
73,2020-01-26,1084,3677.05,2276.04,834.09,601.09,0.57,0.37,2.47,8.63,1401.0100000000002,30,41.1,Perbaiki Dana Darurat dan pelunasan Utang
74,2020-02-25,1799,3285.42,2691.73,195.09,406.24,0.47,0.07,0.47,12.38,593.69,30,42.85,Perbaiki Dana Darurat dan pelunasan Utang
75,2020-03-26,1866,3814.84,2020.61,1872.93,666.47,0.18,0.93,6.2,23.25,1794.2300000000002,30,59.45,Perbaiki Dana Darurat dan pelunasan Utang
76,2020-04-25,1949,2282.15,1808.42,486.95,489.73,0.43,0.27,1.8,13.88,473.73,30,45.68,Perbaiki Dana Darurat dan pelunasan Utang
77,2020-05-25,1730,4003.62,4254.45,794.26,767.32,0.46,0.19,1.27,12.75,-250.82999999999993,0,14.02,WARING!!! : Fokus Lunasi Utang & Nabung
78,2020-06-24,1355,4169.75,3064.38,1040.06,759.34,0.24,0.34,2.27,21.0,1105.37,30,53.27,Perbaiki Dana Darurat dan pelunasan Utang
79,2020-07-24,1166,4154.59,3070.33,723.56,475.69,0.35,0.24,1.6,16.88,1084.2600000000002,30,48.48,Perbaiki Dana Darurat dan pelunasan Utang
80,2020-08-23,1694,5530.99,996.21,1304.41,597.11,0.1,1.31,8.73,26.25,4534.78,30,64.98,Siap Investasi
81,2020-09-22,1230,2249.0,4408.99,1475.67,312.28,0.35,0.33,2.2,16.88,-2159.99,0,19.08,WARING!!! : Fokus Lunasi Utang & Nabung
82,2020-10-22,1306,4108.07,2591.19,669.87,41.32,0.1,0.26,1.73,26.25,1516.8799999999997,30,57.98,Perbaiki Dana Darurat dan pelunasan Utang
83,2020-11-21,1856,3281.77,2937.27,1642.86,625.54,0.22,0.56,3.73,21.75,344.5,30,55.48,Perbaiki Dana Darurat dan pelunasan Utang
84,2020-12-21,1310,3642.2,1872.49,1139.84,423.27,0.16,0.61,4.07,24.0,1769.7099999999998,30,58.07,Perbaiki Dana Darurat dan pelunasan Utang
85,2021-01-20,1332,3463.41,3271.94,1464.46,396.61,0.16,0.45,3.0,24.0,191.4699999999998,30,57.0,Perbaiki Dana Darurat dan pelunasan Utang
86,2021-02-19,1071,4599.21,3564.07,503.96,736.26,0.37,0.14,0.93,16.12,1035.1399999999999,30,47.05,Perbaiki Dana Darurat dan pelunasan Utang
87,2021-03-21,1371,3375.82,2627.31,532.31,580.03,0.23,0.2,1.33,21.38,748.5100000000002,30,52.71,Perbaiki Dana Darurat dan pelunasan Utang
88,2021-04-20,1938,4023.87,1360.32,2018.03,0.0,0.21,1.48,9.87,22.12,2663.55,30,61.99,Siap Investasi
89,2021-05-20,1260,4976.02,3902.74,592.64,318.52,0.43,0.15,1.0,13.88,1073.2800000000007,30,44.88,Perbaiki Dana Darurat dan pelunasan Utang
90,2021-06-19,1277,3874.19,2673.9,192.49,0.0,0.42,0.07,0.47,14.25,1200.29,30,44.72,Perbaiki Dana Darurat dan pelunasan Utang
91,2021-07-19,1446,3539.63,1192.31,303.31,130.48,0.4,0.25,1.67,15.0,2347.32,30,46.67,Perbaiki Dana Darurat dan pelunasan Utang
92,2021-08-18,1917,2832.28,4716.8,1165.48,479.85,0.23,0.25,1.67,21.38,-1884.52,0,23.05,WARING!!! : Fokus Lunasi Utang & Nabung
93,2021-09-17,1209,3456.66,2910.41,592.01,222.84,0.48,0.2,1.33,12.0,546.25,30,43.33,Perbaiki Dana Darurat dan pelunasan Utang
94,2021-10-17,1896,2954.93,5011.59,959.69,608.22,0.35,0.19,1.27,16.88,-2056.6600000000003,0,18.15,WARING!!! : Fokus Lunasi Utang & Nabung
95,2021-11-16,1335,4374.48,4704.11,543.07,275.37,0.28,0.12,0.8,19.5,-329.6300000000001,0,20.3,WARING!!! : Fokus Lunasi Utang & Nabung
96,2021-12-16,1604,3185.98,1721.25,959.2,403.33,0.32,0.56,3.73,18.0,1464.73,30,51.73,Perbaiki Dana Darurat dan pelunasan Utang
97,2022-01-15,1895,3150.47,2759.67,689.26,418.16,0.16,0.25,1.67,24.0,390.7999999999997,30,55.67,Perbaiki Dana Darurat dan pelunasan Utang
98,2022-02-14,1662,3797.06,2792.7,1593.13,25.42,0.34,0.57,3.8,17.25,1004.3600000000001,30,51.05,Perbaiki Dana Darurat dan pelunasan Utang
99,2022-03-16,1461,3152.89,1886.08,988.54,325.3,0.54,0.52,3.47,9.75,1266.81,30,43.22,Perbaiki Dana Darurat dan pelunasan Utang
100,2022-04-15,1243,4953.73,3013.09,1472.05,521.1,0.56,0.49,3.27,9.0,1940.6399999999994,30,42.27,Perbaiki Dana Darurat dan pelunasan Utang
101,2022-05-15,1894,5299.48,2460.74,295.52,264.36,0.25,0.12,0.8,20.62,2838.74,30,51.42,Perbaiki Dana Darurat dan pelunasan Utang
102,2022-06-14,1446,3266.25,1380.33,1085.1,464.44,0.19,0.79,5.27,22.88,1885.92,30,58.15,Perbaiki Dana Darurat dan pelunasan Utang
103,2022-07-14,1827,3805.09,2046.66,980.8,306.77,0.27,0.48,3.2,19.88,1758.43,30,53.08,Perbaiki Dana Darurat dan pelunasan Utang
104,2022-08-13,1063,4695.21,4526.43,1174.05,1114.32,0.52,0.26,1.73,10.5,168.77999999999975,30,42.23,Perbaiki Dana Darurat dan pelunasan Utang
