date,user_id,monthly_income,monthly_expense_total,emergency_fund,investment_amount,debt_to_income_ratio,age,Rasio Dana Darurat,score_emergency,cluster_investor,status_kesiapan_invest,ticker_saham,jumlah_lot,average_price
2019-01-01,1584,54524019.24,56140559.46,8923917.24,12046187.16,0.56,24,0.16,1.07,1,Belum Siap Investasi,MBMA.JK,41,3395
2019-01-31,1045,57020926.32,65242053.18,20176777.98,6298022.52,0.42,21,0.31,2.07,1,Belum Siap Investasi,SMGR.JK,25,1670
2019-03-02,1756,51231513.599999994,58299267.24,25046323.56,0.0,0.24,30,0.43,2.87,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
2019-04-01,1724,61291675.62,40681618.02,3973972.86,3182044.68,0.16,28,0.1,0.67,2,Siap Investasi (Konservatif),INDF.JK,48,4195
2019-05-01,1600,80518873.86,38147133.24,10308699.18,5991108.84,0.25,25,0.27,1.8,2,Siap Investasi (Konservatif),BRIS.JK,13,2505
2019-05-31,1985,70408200.42,67754690.46000001,19768142.34,7884500.58,0.43,30,0.29,1.93,1,Belum Siap Investasi,MNCN.JK,9,3364
2019-06-30,1194,72454175.1,53056391.580000006,17392707.36,12766280.76,0.3,22,0.33,2.2,0,Siap Investasi (Agresif),ASII.JK,13,4575
2019-07-30,1600,55971022.86,47007255.78,12806305.38,3917693.7,0.24,24,0.27,1.8,2,Siap Investasi (Konservatif),UNVR.JK,31,1718
2019-08-29,1835,83284592.58,45941971.68,28367667.9,0.0,0.52,27,0.62,4.13,1,Belum Siap Investasi,Belum Ada Portfolio,0,0
2019-09-28,1454,62602525.62,58914842.400000006,18475993.799999997,4568574.42,0.52,20,0.31,2.07,1,Belum Siap Investasi,ESSA.JK,41,2071
2019-10-28,1045,66988105.38,56467398.06,19149421.14,7910368.02,0.19,24,0.34,2.27,0,Siap Investasi (Agresif),MBMA.JK,11,4480
2019-11-27,1357,37346815.62,60199300.62,34393732.74,9229257.899999999,0.39,28,0.57,3.8,1,Belum Siap Investasi,TOWR.JK,4,2955
2019-12-27,1403,95480915.76,53295490.62,25017484.86,4816587.239999999,0.23,28,0.47,3.13,2,Siap Investasi (Konservatif),EMTK.JK,34,2159
2020-01-26,1884,36890115.48,47327977.080000006,20163319.92,9848503.44,0.32,25,0.43,2.87,0,Siap Investasi (Agresif),GGRM.JK,38,4272
2020-02-25,1675,61300414.62,46515949.2,24564979.44,3846033.9000000004,0.4,22,0.53,3.53,1,Belum Siap Investasi,BBRI.JK,46,1249
2020-03-26,1750,36678981.24,80645065.02,24147604.799999997,4979307.42,0.29,21,0.3,2.0,2,Siap Investasi (Konservatif),BBRI.JK,4,3361
2020-04-25,1222,64277966.7,60995073.96,30229249.68,6070458.96,0.13,25,0.5,3.33,2,Siap Investasi (Konservatif),GOTO.JK,38,2892
2020-05-25,1050,32931872.82,48311114.580000006,29577844.62,6892099.739999999,0.41,25,0.61,4.07,1,Belum Siap Investasi,SRTG.JK,19,4439
2020-06-24,1234,64621584.18,61584781.68,8618227.02,4323882.42,0.52,20,0.14,0.93,1,Belum Siap Investasi,JSMR.JK,6,4500
2020-07-24,1447,82606795.74,69009785.64,23077077.299999997,7163008.739999999,0.48,23,0.33,2.2,1,Belum Siap Investasi,MDKA.JK,34,2853
2020-08-23,1347,50882303.16,32975218.26,25015562.28,1962954.18,0.52,22,0.76,5.07,1,Belum Siap Investasi,GOTO.JK,18,3854
2020-09-22,1918,69431879.34,48828812.94,23763088.799999997,14065839.971999988,0.44,19,0.49,3.27,0,Siap Investasi (Agresif),AKRA.JK,13,2503
2020-10-22,1879,89781864.30000001,43255253.52,18275171.58,9256523.58,0.25,25,0.42,2.8,0,Siap Investasi (Agresif),EXCL.JK,41,4385
2020-11-21,1057,72083117.16000001,47412570.599999994,10756835.100000001,4522257.72,0.21,29,0.23,1.53,2,Siap Investasi (Konservatif),SRTG.JK,23,4571
2020-12-21,1129,80791705.44,38792595.78,40318949.52,10336139.64,0.46,23,1.04,5.07,1,Belum Siap Investasi,ADRO.JK,19,4792
2021-01-20,1680,84936613.14,49475149.38,13429221.3,8035335.72,0.32,19,0.27,1.8,0,Siap Investasi (Agresif),GOTO.JK,45,4426
2021-02-19,1621,94632358.86,58175523.0,21565754.64,8953804.62,0.56,29,0.37,2.47,1,Belum Siap Investasi,MTEL.JK,11,3532
2021-03-21,1998,105610989.78,39261880.080000006,26445787.02,10128675.78,0.5,22,0.67,4.47,1,Belum Siap Investasi,INDY.JK,1,2234
2021-04-20,1058,77304145.32,52244188.919999994,5634033.300000001,5702197.5,0.38,18,0.11,0.73,1,Belum Siap Investasi,MAPI.JK,24,4775
2021-05-20,1334,70135019.28,38341313.82,20414653.56,0.0,0.53,29,0.53,3.53,1,Belum Siap Investasi,Belum Ada Portfolio,0,0
2021-06-19,1256,55293575.580000006,69921787.67999999,24671245.68,11998996.56,0.29,27,0.35,2.33,0,Siap Investasi (Agresif),ADRO.JK,7,1043
2021-07-19,1421,52090732.080000006,36419782.5,7933089.42,3731378.22,0.23,23,0.22,1.47,2,Siap Investasi (Konservatif),UNTR.JK,25,4612
2021-08-18,1456,61452473.22,57260025.36,6081994.44,6186862.44,0.12,30,0.11,0.73,2,Siap Investasi (Konservatif),ESSA.JK,21,3618
2021-09-17,1974,67378214.34,43874673.84,8701946.64,3913498.98,0.52,29,0.2,1.33,1,Belum Siap Investasi,ISAT.JK,15,1582
2021-10-17,1730,65115687.24,59965444.98,15559090.38,12866954.04,0.43,26,0.26,1.73,0,Siap Investasi (Agresif),BBTN.JK,1,4163
2021-11-16,1340,94793855.58,59857605.72,12860487.18,10665949.5,0.2,18,0.21,1.4,0,Siap Investasi (Agresif),TOWR.JK,12,2288
2021-12-16,1794,92178447.66000001,45147596.580000006,15695418.78,10863625.68,0.44,28,0.35,2.33,1,Belum Siap Investasi,EXCL.JK,7,3942
2022-01-15,1776,74753231.22,48679900.38,40977695.34,4933340.28,0.22,28,0.84,5.07,2,Siap Investasi (Konservatif),UNVR.JK,15,1219
2022-02-14,1173,83569134.42,57324693.96,0.0,0.0,0.36,27,0.0,0.0,2,Siap Investasi (Konservatif),Belum Ada Portfolio,0,0
